"Node1","Node2","Correlation"
"SRP135559.OTU184","SRP135559.OTU1",-0.030520279241746
"SRP135559.OTU217","SRP135559.OTU1",-0.0325218935189445
"SRP135559.OTU91","SRP135559.OTU2",0.0415812647100644
"SRP135559.OTU114","SRP135559.OTU2",0.0395874443190554
"SRP135559.OTU179","SRP135559.OTU2",0.0176974179878838
"SRP135559.OTU47","SRP135559.OTU25",0.0331991303270381
"SRP135559.OTU12","SRP135559.OTU26",-0.0284519251653624
"SRP135559.OTU86","SRP135559.OTU26",-0.0304144406865117
"SRP135559.OTU151","SRP135559.OTU26",0.0221755883486261
"SRP135559.OTU184","SRP135559.OTU48",0.0318874376968521
"SRP135559.OTU91","SRP135559.OTU57",0.0488528291156286
"SRP135559.OTU114","SRP135559.OTU57",0.0369042472923302
"SRP135559.OTU132","SRP135559.OTU57",0.0488070904659036
"SRP135559.OTU57","SRP135559.OTU74",0.0315038967640285
"SRP135559.OTU91","SRP135559.OTU74",0.043573062949064
"SRP135559.OTU114","SRP135559.OTU74",0.0456116446450112
"SRP135559.OTU132","SRP135559.OTU74",0.0561080317823457
"SRP135559.OTU91","SRP135559.OTU86",0.0442512721728303
"SRP135559.OTU179","SRP135559.OTU86",0.0192031961389192
"SRP135559.OTU179","SRP135559.OTU91",0.0175804077502628
"SRP135559.OTU1","SRP135559.OTU96",-0.0703982928266744
"SRP135559.OTU48","SRP135559.OTU96",0.0403511303737504
"SRP135559.OTU57","SRP135559.OTU96",0.0310413102173574
"SRP135559.OTU91","SRP135559.OTU96",0.0417497708211924
"SRP135559.OTU184","SRP135559.OTU96",0.0323075613843061
"SRP135559.OTU132","SRP135559.OTU114",0.0566740395713476
"SRP135559.OTU184","SRP135559.OTU132",0.0335335334396294
