"samplename","variable","value"
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU32;.;SRP135559.OTU297",1.48673894477786
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU32;.;SRP135559.OTU362",-0.865138903490216
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU32;.;SRP135559.OTU38",0.780775689314151
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU32;.;SRP135559.OTU483",-1.12856648354601
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU32;.;SRP135559.OTU51",0.689217355382905
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU32;.;SRP135559.OTU59",1.13146469974647
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU32;.;SRP135559.OTU72",0.716930230631482
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU32;.;SRP135559.OTU76",0.947659922371654
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU362;.;SRP135559.OTU483",1.07924746235919
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU38;.;SRP135559.OTU181",-1.04051003643154
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU38;.;SRP135559.OTU220",1.78785595908406
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU38;.;SRP135559.OTU297",1.28312523514246
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU38;.;SRP135559.OTU483",-0.974005651537059
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU38;.;SRP135559.OTU59",0.976506947650116
