"Node1","Node2","Correlation"
"SRP135559.OTU9","SRP135559.OTU1",0.0183085286781387
"SRP135559.OTU13","SRP135559.OTU1",-0.0188962433971795
"SRP135559.OTU14","SRP135559.OTU1",-0.00839083360457801
"SRP135559.OTU16","SRP135559.OTU1",0.00679696333417998
"SRP135559.OTU22","SRP135559.OTU1",-0.0107158432789681
"SRP135559.OTU36","SRP135559.OTU1",-0.0171633866356191
"SRP135559.OTU38","SRP135559.OTU1",0.0212927630452341
"SRP135559.OTU47","SRP135559.OTU1",-0.0136824462623427
"SRP135559.OTU61","SRP135559.OTU1",-0.0131382185499459
"SRP135559.OTU64","SRP135559.OTU1",-0.0116877172795114
"SRP135559.OTU78","SRP135559.OTU1",-0.00692375479654342
"SRP135559.OTU87","SRP135559.OTU1",-0.0146275519094183
"SRP135559.OTU128","SRP135559.OTU1",0.010517905068995
"SRP135559.OTU158","SRP135559.OTU1",0.0106441956688943
"SRP135559.OTU246","SRP135559.OTU1",0.00937578823947666
"SRP135559.OTU483","SRP135559.OTU1",-0.00723522194022677
"SRP135559.OTU74","SRP135559.OTU2",-0.0244802952754703
"SRP135559.OTU82","SRP135559.OTU4",0.0176346894064765
"SRP135559.OTU181","SRP135559.OTU4",0.0110626846562906
"SRP135559.OTU362","SRP135559.OTU4",0.0112772084600055
"SRP135559.OTU13","SRP135559.OTU5",0.0178559229376239
"SRP135559.OTU17","SRP135559.OTU5",-0.00661674196985993
"SRP135559.OTU26","SRP135559.OTU5",0.0211221529549275
"SRP135559.OTU36","SRP135559.OTU5",0.019588229559769
"SRP135559.OTU88","SRP135559.OTU5",0.0109898343586779
"SRP135559.OTU128","SRP135559.OTU5",-0.00907865731486634
"SRP135559.OTU179","SRP135559.OTU5",0.0104982149587711
"SRP135559.OTU8","SRP135559.OTU7",0.0232099060704106
"SRP135559.OTU9","SRP135559.OTU7",0.0198264924433929
"SRP135559.OTU12","SRP135559.OTU7",0.0182282409723103
"SRP135559.OTU14","SRP135559.OTU7",-0.00725436882064054
"SRP135559.OTU21","SRP135559.OTU7",0.0147461389233096
"SRP135559.OTU85","SRP135559.OTU7",0.0131945207749432
"SRP135559.OTU9","SRP135559.OTU8",0.0195724438659457
"SRP135559.OTU12","SRP135559.OTU8",0.0185835092760192
"SRP135559.OTU14","SRP135559.OTU8",-0.00682699597053795
"SRP135559.OTU21","SRP135559.OTU8",0.0147161213767755
"SRP135559.OTU77","SRP135559.OTU8",0.015965417334106
"SRP135559.OTU78","SRP135559.OTU8",-0.00680410000288576
"SRP135559.OTU85","SRP135559.OTU8",0.0142256907659282
"SRP135559.OTU13","SRP135559.OTU9",-0.0186332155416911
"SRP135559.OTU14","SRP135559.OTU9",-0.0085234307136049
"SRP135559.OTU36","SRP135559.OTU9",-0.016284201982402
"SRP135559.OTU38","SRP135559.OTU9",0.0197313875597182
"SRP135559.OTU47","SRP135559.OTU9",-0.0138983808246773
"SRP135559.OTU61","SRP135559.OTU9",-0.0119811534571802
"SRP135559.OTU78","SRP135559.OTU9",-0.00767225560042351
"SRP135559.OTU85","SRP135559.OTU9",0.0131839070524392
"SRP135559.OTU9","SRP135559.OTU12",0.0168391380506721
"SRP135559.OTU21","SRP135559.OTU12",0.0159937265813648
"SRP135559.OTU77","SRP135559.OTU12",0.0148926721849638
"SRP135559.OTU124","SRP135559.OTU12",0.0138809593763286
"SRP135559.OTU14","SRP135559.OTU13",0.00814355247837092
"SRP135559.OTU17","SRP135559.OTU13",-0.00554183211505433
"SRP135559.OTU36","SRP135559.OTU13",0.0197423212807913
"SRP135559.OTU38","SRP135559.OTU13",-0.0187055300881788
"SRP135559.OTU47","SRP135559.OTU13",0.0145960209180556
"SRP135559.OTU64","SRP135559.OTU13",0.0131401108066175
"SRP135559.OTU78","SRP135559.OTU13",0.0078576570114291
"SRP135559.OTU87","SRP135559.OTU13",0.0158855135953748
"SRP135559.OTU128","SRP135559.OTU13",-0.0110557651822688
"SRP135559.OTU16","SRP135559.OTU14",-0.00707323978807085
"SRP135559.OTU36","SRP135559.OTU14",0.0170317608334798
"SRP135559.OTU38","SRP135559.OTU14",-0.0218830747100375
"SRP135559.OTU47","SRP135559.OTU14",0.0143454966185534
"SRP135559.OTU61","SRP135559.OTU14",0.0131703581424481
"SRP135559.OTU78","SRP135559.OTU14",0.00787504811936346
"SRP135559.OTU16","SRP135559.OTU15",-0.0075185683289446
"SRP135559.OTU22","SRP135559.OTU15",0.0110704310788099
"SRP135559.OTU38","SRP135559.OTU15",-0.0180667081546766
"SRP135559.OTU61","SRP135559.OTU15",0.0135665254713286
"SRP135559.OTU158","SRP135559.OTU15",-0.0113170869653904
"SRP135559.OTU483","SRP135559.OTU15",0.00822756998383435
"SRP135559.OTU22","SRP135559.OTU16",-0.00955866695693872
"SRP135559.OTU36","SRP135559.OTU16",-0.0157308394736824
"SRP135559.OTU38","SRP135559.OTU16",0.0211806420143781
"SRP135559.OTU61","SRP135559.OTU16",-0.0145092096284557
"SRP135559.OTU483","SRP135559.OTU16",-0.00744519502927124
"SRP135559.OTU26","SRP135559.OTU17",-0.0201051521264748
"SRP135559.OTU36","SRP135559.OTU17",-0.0178651899994481
"SRP135559.OTU88","SRP135559.OTU17",-0.0115201647612225
"SRP135559.OTU91","SRP135559.OTU17",-0.0149714638229915
"SRP135559.OTU124","SRP135559.OTU21",0.0137383931787382
"SRP135559.OTU13","SRP135559.OTU22",0.0147755884430279
"SRP135559.OTU38","SRP135559.OTU22",-0.0195136403087897
"SRP135559.OTU61","SRP135559.OTU22",0.0134892018006608
"SRP135559.OTU128","SRP135559.OTU22",-0.0089267001038642
"SRP135559.OTU158","SRP135559.OTU22",-0.0115565663103887
"SRP135559.OTU246","SRP135559.OTU22",-0.0106731813546571
"SRP135559.OTU483","SRP135559.OTU22",0.00841311904794186
"SRP135559.OTU51","SRP135559.OTU24",0.0066417304030888
"SRP135559.OTU151","SRP135559.OTU24",-0.0087867378098429
"SRP135559.OTU227","SRP135559.OTU24",-0.0150740131796091
"SRP135559.OTU362","SRP135559.OTU24",-0.013009030183553
"SRP135559.OTU41","SRP135559.OTU25",0.0179553135102136
"SRP135559.OTU64","SRP135559.OTU25",0.0121598746008069
"SRP135559.OTU87","SRP135559.OTU25",0.0137990344482532
"SRP135559.OTU120","SRP135559.OTU25",-0.0162782841898259
"SRP135559.OTU128","SRP135559.OTU25",-0.00896640479022731
"SRP135559.OTU150","SRP135559.OTU25",0.00824460525624192
"SRP135559.OTU13","SRP135559.OTU26",0.0174308175421742
"SRP135559.OTU36","SRP135559.OTU26",0.0187338050879176
"SRP135559.OTU64","SRP135559.OTU26",0.012677254383623
"SRP135559.OTU87","SRP135559.OTU26",0.0156856595702608
"SRP135559.OTU128","SRP135559.OTU26",-0.0100986394153274
"SRP135559.OTU150","SRP135559.OTU29",0.00879804318008896
"SRP135559.OTU180","SRP135559.OTU29",-0.00913783087724873
"SRP135559.OTU59","SRP135559.OTU32",0.0128771126008132
"SRP135559.OTU72","SRP135559.OTU32",0.0109514327539636
"SRP135559.OTU220","SRP135559.OTU32",0.0139148556933718
"SRP135559.OTU38","SRP135559.OTU36",-0.0177770918436121
"SRP135559.OTU47","SRP135559.OTU36",0.0138326013998053
"SRP135559.OTU64","SRP135559.OTU36",0.0124900317528078
"SRP135559.OTU78","SRP135559.OTU36",0.00702853493021865
"SRP135559.OTU87","SRP135559.OTU36",0.0155727894808146
"SRP135559.OTU128","SRP135559.OTU36",-0.0104526599186352
"SRP135559.OTU51","SRP135559.OTU38",0.00601587580379484
"SRP135559.OTU61","SRP135559.OTU38",-0.0146435132295858
"SRP135559.OTU483","SRP135559.OTU38",-0.00769275775835057
"SRP135559.OTU17","SRP135559.OTU39",-0.00571036334292094
"SRP135559.OTU36","SRP135559.OTU39",0.0150769159179376
"SRP135559.OTU78","SRP135559.OTU39",0.00815770231089359
"SRP135559.OTU87","SRP135559.OTU39",0.0148812280673902
"SRP135559.OTU91","SRP135559.OTU39",0.0167630851241347
