"SAMN08707423"	"SAMN08707425"	"SAMN08707429"	"SAMN08707432"	"SAMN08707433"	"SAMN08707441"	"SAMN08707438"
"SRP135559.OTU1"	0.0174614563171595	0.0705496162888701	0.0259051186017478	0.0647981099332852	0.0647981099332852	0.145276248525363	0.2628148315765
"SRP135559.OTU2"	0.162523490355887	0.00245752561770838	0.162523490355887	0.00260311640696608	0.642778354790142	0.00225496460872985	0.000245139635307651
"SRP135559.OTU4"	0.256966228392178	0.0402785787162311	0.0429031018918659	0.0266605560647724	0.000491131454151672	0.00275265434526151	0.04606110891114
"SRP135559.OTU5"	0.0717062671027164	0.0175841724703899	0.0799481417458945	0.0213137794072716	0.000539439466035442	0.00621804954777822	0.00922102166657238
"SRP135559.OTU6"	4.17139424681305e-05	0.126522645610611	0.139152981849611	0.0688885985240899	0.0688885985240899	0.00983705269366889	0.0510833286191096
"SRP135559.OTU7"	0.00433825001668558	0.0106285764982478	0.0586286372803226	0.0186862205927284	0.00102251958487315	0.0626105977192292	0.00156512228696423
"SRP135559.OTU9"	0.00727491156644197	0.0628576498247792	0.00388936905790838	0.0250030986170012	0.0250030986170012	0.0259904640188753	0.0186557548100797
"SRP135559.OTU15"	0.00697457118067142	0.010735039701903	0.00422548737155479	0.000219981668194317	0.00553876998058089	0.00553876998058089	0.0027028216200587
"SRP135559.OTU16"	0.00116799038910766	0.0396220556270239	0.000624219725343321	0.0384845707302169	0.0199747091179229	0.0199747091179229	0.0222197079695524
"SRP135559.OTU17"	0.0038043115530935	0.0151405881914217	0.00480169019494862	0.0516101435991445	0.000346207418500358	0.0151405881914217	0.00167826365710622
"SRP135559.OTU22"	0.0428402189147701	0.00124207070931109	0.00881110150773072	0.0183477087739085	0.0183477087739085	0.0204974439638223	0.0037965215314313
"SRP135559.OTU24"	0.0001918841353534	0.00764760679590116	0.0151733410160377	0.0901863733577757	0.000756825519512412	0.0227912061649161	0.0223517062347181
