"Node1","Node2","Correlation"
"SRP135559.OTU16","SRP135559.OTU1",0.0284267717287607
"SRP135559.OTU32","SRP135559.OTU1",0.025623623995749
"SRP135559.OTU38","SRP135559.OTU1",0.0204298355453909
"SRP135559.OTU47","SRP135559.OTU1",-0.00944836640527482
"SRP135559.OTU71","SRP135559.OTU1",0.0152272918595042
"SRP135559.OTU82","SRP135559.OTU1",-0.0249309919269719
"SRP135559.OTU206","SRP135559.OTU1",-0.0164638131563388
"SRP135559.OTU25","SRP135559.OTU2",-0.00808377632617079
"SRP135559.OTU77","SRP135559.OTU2",0.0135649550015815
"SRP135559.OTU114","SRP135559.OTU2",0.0124746464273949
"SRP135559.OTU206","SRP135559.OTU2",0.0141128549971041
"SRP135559.OTU1","SRP135559.OTU4",-0.013792003625952
"SRP135559.OTU32","SRP135559.OTU4",-0.0258180560028382
"SRP135559.OTU37","SRP135559.OTU4",0.0178280700027662
"SRP135559.OTU38","SRP135559.OTU4",-0.0212802522258936
"SRP135559.OTU389","SRP135559.OTU4",0.0207284326902518
"SRP135559.OTU1","SRP135559.OTU5",-0.0190515701188723
"SRP135559.OTU9","SRP135559.OTU5",-0.014541843954925
"SRP135559.OTU16","SRP135559.OTU5",-0.0306236981767736
"SRP135559.OTU32","SRP135559.OTU5",-0.025051383468906
"SRP135559.OTU37","SRP135559.OTU5",0.0165186465167169
"SRP135559.OTU38","SRP135559.OTU5",-0.0214497988352295
"SRP135559.OTU71","SRP135559.OTU5",-0.0137563094787236
"SRP135559.OTU82","SRP135559.OTU5",0.0254301766684784
"SRP135559.OTU206","SRP135559.OTU5",0.013777876752517
"SRP135559.OTU22","SRP135559.OTU6",-0.0165891827914793
"SRP135559.OTU24","SRP135559.OTU6",0.0334081995156651
"SRP135559.OTU31","SRP135559.OTU6",0.0184802302178062
"SRP135559.OTU47","SRP135559.OTU6",-0.0104725430437934
"SRP135559.OTU64","SRP135559.OTU6",0.014147185320679
"SRP135559.OTU69","SRP135559.OTU6",0.00575162029856725
"SRP135559.OTU179","SRP135559.OTU6",-0.0128378945255871
"SRP135559.OTU41","SRP135559.OTU7",-0.0273419107981759
"SRP135559.OTU77","SRP135559.OTU7",0.0148980384666347
"SRP135559.OTU16","SRP135559.OTU9",0.031990369641197
"SRP135559.OTU37","SRP135559.OTU9",-0.0200480354947285
"SRP135559.OTU38","SRP135559.OTU9",0.0243670061995771
"SRP135559.OTU82","SRP135559.OTU9",-0.0194953722285832
"SRP135559.OTU87","SRP135559.OTU9",-0.0117557045804629
"SRP135559.OTU32","SRP135559.OTU16",0.0235742151840553
"SRP135559.OTU37","SRP135559.OTU16",-0.0183360546241721
"SRP135559.OTU38","SRP135559.OTU16",0.0239478519594671
"SRP135559.OTU72","SRP135559.OTU16",0.0265423223781339
"SRP135559.OTU82","SRP135559.OTU16",-0.023878096738763
