"Node1","Node2","Correlation"
"SRP135559.OTU2","SRP135559.OTU1",-0.0398703545626445
"SRP135559.OTU16","SRP135559.OTU1",0.0251661542116634
"SRP135559.OTU25","SRP135559.OTU1",0.00752614343535236
"SRP135559.OTU82","SRP135559.OTU1",-0.0182941996603764
"SRP135559.OTU206","SRP135559.OTU1",-0.0130805247919336
"SRP135559.OTU25","SRP135559.OTU2",-0.007493904810926
"SRP135559.OTU72","SRP135559.OTU2",-0.0270075920512564
"SRP135559.OTU82","SRP135559.OTU2",0.0163848108379139
"SRP135559.OTU5","SRP135559.OTU4",0.0295972989952097
"SRP135559.OTU36","SRP135559.OTU4",0.0299711106277586
"SRP135559.OTU389","SRP135559.OTU4",0.0198767963916907
"SRP135559.OTU36","SRP135559.OTU5",0.027293486947237
"SRP135559.OTU55","SRP135559.OTU5",0.0235173414194107
"SRP135559.OTU61","SRP135559.OTU5",0.0225102918142758
"SRP135559.OTU31","SRP135559.OTU6",0.0160129262774831
"SRP135559.OTU47","SRP135559.OTU6",-0.00805383452580515
"SRP135559.OTU64","SRP135559.OTU6",0.0125563647090114
"SRP135559.OTU69","SRP135559.OTU6",0.00542326752296264
"SRP135559.OTU16","SRP135559.OTU9",0.0280492896839473
"SRP135559.OTU38","SRP135559.OTU9",0.0195301612995114
"SRP135559.OTU41","SRP135559.OTU16",0.0228687244524198
"SRP135559.OTU82","SRP135559.OTU16",-0.0168707293867686
"SRP135559.OTU26","SRP135559.OTU17",-0.0239146962664733
"SRP135559.OTU57","SRP135559.OTU17",0.023169828928698
"SRP135559.OTU68","SRP135559.OTU17",0.0210855945903702
"SRP135559.OTU74","SRP135559.OTU17",-0.0156270329052719
"SRP135559.OTU184","SRP135559.OTU17",0.021797536641186
"SRP135559.OTU75","SRP135559.OTU22",-0.0115026037953174
"SRP135559.OTU57","SRP135559.OTU24",0.0239401884949579
"SRP135559.OTU64","SRP135559.OTU24",0.0114322773906572
"SRP135559.OTU69","SRP135559.OTU24",0.00635797813350534
"SRP135559.OTU72","SRP135559.OTU24",0.0260613412282964
"SRP135559.OTU69","SRP135559.OTU25",0.00554988600757636
"SRP135559.OTU206","SRP135559.OTU25",-0.0127902278379459
"SRP135559.OTU24","SRP135559.OTU26",-0.0322116518078034
"SRP135559.OTU57","SRP135559.OTU26",-0.0262103640179612
"SRP135559.OTU68","SRP135559.OTU26",-0.0226094309397092
"SRP135559.OTU72","SRP135559.OTU26",-0.0270891162243036
"SRP135559.OTU16","SRP135559.OTU32",0.0250719542342135
"SRP135559.OTU82","SRP135559.OTU32",-0.015883005819239
"SRP135559.OTU389","SRP135559.OTU36",0.019270290539069
"SRP135559.OTU9","SRP135559.OTU37",-0.0147438779825283
"SRP135559.OTU22","SRP135559.OTU37",0.015211300893147
"SRP135559.OTU31","SRP135559.OTU37",-0.0173727861123107
"SRP135559.OTU38","SRP135559.OTU37",-0.0206966719706441
"SRP135559.OTU16","SRP135559.OTU38",0.0272020502222549
"SRP135559.OTU31","SRP135559.OTU38",0.016240117170244
"SRP135559.OTU2","SRP135559.OTU41",-0.0391618883657861
"SRP135559.OTU82","SRP135559.OTU41",-0.0175845670191895
"SRP135559.OTU64","SRP135559.OTU47",-0.0113802816661176
"SRP135559.OTU74","SRP135559.OTU48",-0.016206737562379
"SRP135559.OTU179","SRP135559.OTU52",-0.0110250853151061
"SRP135559.OTU2","SRP135559.OTU57",-0.036248053764609
"SRP135559.OTU68","SRP135559.OTU57",0.0216923869184287
"SRP135559.OTU72","SRP135559.OTU57",0.0282188283106123
"SRP135559.OTU26","SRP135559.OTU62",-0.0224956778279647
"SRP135559.OTU52","SRP135559.OTU62",-0.0143945629696963
"SRP135559.OTU68","SRP135559.OTU62",0.0206847787818043
"SRP135559.OTU69","SRP135559.OTU64",0.00668488213326496
"SRP135559.OTU4","SRP135559.OTU68",0.030991983224147
"SRP135559.OTU75","SRP135559.OTU69",0.0101791563326578
"SRP135559.OTU25","SRP135559.OTU71",0.0072901163330102
"SRP135559.OTU150","SRP135559.OTU71",0.0129144240527722
"SRP135559.OTU206","SRP135559.OTU71",-0.0141081262422209
"SRP135559.OTU74","SRP135559.OTU72",-0.0146217064825033
"SRP135559.OTU184","SRP135559.OTU74",-0.0195271096691706
"SRP135559.OTU60","SRP135559.OTU87",-0.0131210370707134
"SRP135559.OTU60","SRP135559.OTU114",0.0116844551552706
"SRP135559.OTU74","SRP135559.OTU114",-0.013689932432935
"SRP135559.OTU179","SRP135559.OTU135",-0.0103303703551307
"SRP135559.OTU25","SRP135559.OTU150",0.00692822661593882
"SRP135559.OTU206","SRP135559.OTU150",-0.0127491649548371
"SRP135559.OTU6","SRP135559.OTU179",-0.0383001569143652
