"Node1","Node2","Correlation"
"SRP135559.OTU96","SRP135559.OTU1",-0.0353377683539319
"SRP135559.OTU179","SRP135559.OTU1",-0.0192173807747446
"SRP135559.OTU52","SRP135559.OTU5",0.0462065284048535
"SRP135559.OTU26","SRP135559.OTU12",-0.034090342971817
"SRP135559.OTU41","SRP135559.OTU12",0.049055102377896
"SRP135559.OTU47","SRP135559.OTU25",0.0325016774987844
"SRP135559.OTU151","SRP135559.OTU26",0.0205081046258848
"SRP135559.OTU206","SRP135559.OTU26",0.0182173772347376
"SRP135559.OTU26","SRP135559.OTU41",-0.0325166598080577
"SRP135559.OTU2","SRP135559.OTU47",-0.0557084032601356
"SRP135559.OTU179","SRP135559.OTU47",-0.0208739633553507
"SRP135559.OTU48","SRP135559.OTU57",0.040252056549785
"SRP135559.OTU91","SRP135559.OTU57",0.0434963053176778
"SRP135559.OTU179","SRP135559.OTU61",-0.0178482200840901
"SRP135559.OTU96","SRP135559.OTU74",0.0392013549708485
"SRP135559.OTU179","SRP135559.OTU86",0.0203558196228365
"SRP135559.OTU179","SRP135559.OTU91",0.0193001609968846
"SRP135559.OTU48","SRP135559.OTU96",0.0372005417581681
"SRP135559.OTU4","SRP135559.OTU114",0.0401840339443979
"SRP135559.OTU47","SRP135559.OTU114",-0.0283809748514217
"SRP135559.OTU4","SRP135559.OTU132",0.0470001392806932
"SRP135559.OTU48","SRP135559.OTU132",0.0448720131330528
"SRP135559.OTU206","SRP135559.OTU151",0.0157470078850494
"SRP135559.OTU48","SRP135559.OTU184",0.0494169754939474
"SRP135559.OTU96","SRP135559.OTU184",0.0378651662872404
"SRP135559.OTU25","SRP135559.OTU217",-0.0400952004328917
