"Node1","Node2","Correlation"
"SRP135559.OTU24","SRP135559.OTU1",0.0343221764970643
"SRP135559.OTU32","SRP135559.OTU1",0.0218246206601061
"SRP135559.OTU47","SRP135559.OTU1",-0.00775597384867262
"SRP135559.OTU206","SRP135559.OTU1",-0.0125016234334241
"SRP135559.OTU24","SRP135559.OTU2",-0.0355287619652957
"SRP135559.OTU25","SRP135559.OTU2",-0.00774319266408373
"SRP135559.OTU26","SRP135559.OTU2",0.0234848405522222
"SRP135559.OTU57","SRP135559.OTU2",-0.0229766650373372
"SRP135559.OTU69","SRP135559.OTU2",-0.00695154916329213
"SRP135559.OTU72","SRP135559.OTU2",-0.0272179140655995
"SRP135559.OTU75","SRP135559.OTU2",-0.0106042996422381
"SRP135559.OTU5","SRP135559.OTU4",0.0280284593550792
"SRP135559.OTU36","SRP135559.OTU4",0.0278924241550801
"SRP135559.OTU389","SRP135559.OTU4",0.020796718155283
"SRP135559.OTU36","SRP135559.OTU5",0.0285666444292272
"SRP135559.OTU68","SRP135559.OTU5",0.0227934466881198
"SRP135559.OTU184","SRP135559.OTU5",0.0198891597313091
"SRP135559.OTU31","SRP135559.OTU6",0.0158327442364113
"SRP135559.OTU38","SRP135559.OTU6",0.0199639970198215
"SRP135559.OTU47","SRP135559.OTU6",-0.00847127383180825
"SRP135559.OTU64","SRP135559.OTU6",0.0111578777843082
"SRP135559.OTU17","SRP135559.OTU7",0.0294980210325354
"SRP135559.OTU77","SRP135559.OTU7",0.0110446613510539
"SRP135559.OTU184","SRP135559.OTU7",0.0212974035833195
"SRP135559.OTU31","SRP135559.OTU9",0.0168897206913722
"SRP135559.OTU37","SRP135559.OTU9",-0.0170149450209395
"SRP135559.OTU38","SRP135559.OTU9",0.0216942913089046
"SRP135559.OTU1","SRP135559.OTU16",0.0140710864141745
"SRP135559.OTU6","SRP135559.OTU16",0.0460821722877959
"SRP135559.OTU24","SRP135559.OTU16",0.0337497225012249
"SRP135559.OTU37","SRP135559.OTU16",-0.0157837376401854
"SRP135559.OTU38","SRP135559.OTU16",0.0220881545837104
"SRP135559.OTU47","SRP135559.OTU16",-0.00767092689077077
"SRP135559.OTU26","SRP135559.OTU17",-0.0256926284210452
"SRP135559.OTU57","SRP135559.OTU17",0.0222291428572966
"SRP135559.OTU68","SRP135559.OTU17",0.0220609171456241
"SRP135559.OTU72","SRP135559.OTU17",0.0256765622508067
"SRP135559.OTU74","SRP135559.OTU17",-0.0153172549503071
"SRP135559.OTU184","SRP135559.OTU17",0.0234534657667507
"SRP135559.OTU31","SRP135559.OTU22",-0.0169645236420503
"SRP135559.OTU52","SRP135559.OTU22",-0.0141420483687309
"SRP135559.OTU26","SRP135559.OTU24",-0.0251729003903185
"SRP135559.OTU32","SRP135559.OTU24",0.0207429670508323
"SRP135559.OTU57","SRP135559.OTU24",0.0230658270506037
"SRP135559.OTU72","SRP135559.OTU24",0.0297792463825224
"SRP135559.OTU57","SRP135559.OTU26",-0.0254946613702726
"SRP135559.OTU68","SRP135559.OTU26",-0.0231359718983313
"SRP135559.OTU72","SRP135559.OTU26",-0.0287332267747495
"SRP135559.OTU52","SRP135559.OTU36",-0.0142519537551891
"SRP135559.OTU38","SRP135559.OTU37",-0.0223174949617131
"SRP135559.OTU25","SRP135559.OTU41",0.00738204144968241
"SRP135559.OTU61","SRP135559.OTU47",0.0236307717182419
"SRP135559.OTU74","SRP135559.OTU48",-0.0154247500067645
"SRP135559.OTU61","SRP135559.OTU52",-0.0245538379372822
"SRP135559.OTU62","SRP135559.OTU52",-0.0270415188812554
"SRP135559.OTU4","SRP135559.OTU55",0.0310279378934484
"SRP135559.OTU57","SRP135559.OTU55",0.0210072373777665
"SRP135559.OTU68","SRP135559.OTU55",0.0234892606351947
"SRP135559.OTU75","SRP135559.OTU55",0.0104034898620024
"SRP135559.OTU68","SRP135559.OTU57",0.0221864300867442
"SRP135559.OTU72","SRP135559.OTU57",0.0289083174238264
"SRP135559.OTU74","SRP135559.OTU57",-0.0137076176704938
"SRP135559.OTU71","SRP135559.OTU60",-0.016360190914205
"SRP135559.OTU114","SRP135559.OTU60",0.0101571327500347
"SRP135559.OTU150","SRP135559.OTU60",-0.0135840051491459
"SRP135559.OTU206","SRP135559.OTU60",0.0128694902426946
"SRP135559.OTU26","SRP135559.OTU62",-0.0239280436045468
"SRP135559.OTU36","SRP135559.OTU62",0.0271214430438131
"SRP135559.OTU2","SRP135559.OTU64",-0.036406674168296
"SRP135559.OTU22","SRP135559.OTU64",-0.0151984075346162
"SRP135559.OTU47","SRP135559.OTU64",-0.00760252058511079
"SRP135559.OTU69","SRP135559.OTU64",0.00641946254044901
"SRP135559.OTU75","SRP135559.OTU64",0.0107189927797664
"SRP135559.OTU4","SRP135559.OTU68",0.0304333755489413
"SRP135559.OTU62","SRP135559.OTU68",0.0247451188323672
"SRP135559.OTU72","SRP135559.OTU68",0.0240259313311332
"SRP135559.OTU184","SRP135559.OTU68",0.0204594773600092
"SRP135559.OTU24","SRP135559.OTU69",0.0334444708130307
"SRP135559.OTU57","SRP135559.OTU69",0.0204307937592693
"SRP135559.OTU72","SRP135559.OTU69",0.0259980074168691
"SRP135559.OTU75","SRP135559.OTU69",0.0124799289452294
"SRP135559.OTU150","SRP135559.OTU71",0.0157529884288114
"SRP135559.OTU74","SRP135559.OTU72",-0.0139393983697782
"SRP135559.OTU184","SRP135559.OTU74",-0.0200680426041619
"SRP135559.OTU1","SRP135559.OTU82",-0.016391386259191
"SRP135559.OTU47","SRP135559.OTU82",0.00826049025590516
"SRP135559.OTU64","SRP135559.OTU82",-0.0104782166799414
"SRP135559.OTU71","SRP135559.OTU82",-0.0137067446323502
"SRP135559.OTU206","SRP135559.OTU82",0.0138494786618703
"SRP135559.OTU25","SRP135559.OTU87",0.00732494236284668
"SRP135559.OTU389","SRP135559.OTU135",0.0213108695347663
"SRP135559.OTU22","SRP135559.OTU179",0.0180227973152013
"SRP135559.OTU31","SRP135559.OTU179",-0.0176128063476081
"SRP135559.OTU52","SRP135559.OTU179",-0.0164165552024423
