"Node1","Node2","Correlation"
"SRP135559.OTU13","SRP135559.OTU1",-0.0170465317117339
"SRP135559.OTU14","SRP135559.OTU1",-0.00806377006924844
"SRP135559.OTU16","SRP135559.OTU1",0.00753682144776605
"SRP135559.OTU22","SRP135559.OTU1",-0.0105185263804343
"SRP135559.OTU36","SRP135559.OTU1",-0.0158565934891201
"SRP135559.OTU38","SRP135559.OTU1",0.0206563118912703
"SRP135559.OTU47","SRP135559.OTU1",-0.0147054423625525
"SRP135559.OTU51","SRP135559.OTU1",0.00663464332538269
"SRP135559.OTU61","SRP135559.OTU1",-0.0137647858959815
"SRP135559.OTU483","SRP135559.OTU1",-0.00693671715261474
"SRP135559.OTU151","SRP135559.OTU2",-0.00761174750866827
"SRP135559.OTU181","SRP135559.OTU4",0.010824113325588
"SRP135559.OTU16","SRP135559.OTU5",-0.00666872936855543
"SRP135559.OTU26","SRP135559.OTU5",0.0220908351839905
"SRP135559.OTU36","SRP135559.OTU5",0.0182283934141794
"SRP135559.OTU47","SRP135559.OTU5",0.0154549054543384
"SRP135559.OTU88","SRP135559.OTU5",0.0133528546617089
"SRP135559.OTU179","SRP135559.OTU5",0.0134209436285228
"SRP135559.OTU184","SRP135559.OTU5",0.0173980854153113
"SRP135559.OTU8","SRP135559.OTU7",0.0228365485962754
"SRP135559.OTU9","SRP135559.OTU7",0.0196664144627961
"SRP135559.OTU12","SRP135559.OTU7",0.0198929383740957
"SRP135559.OTU14","SRP135559.OTU7",-0.00681798259599507
"SRP135559.OTU21","SRP135559.OTU7",0.0141545609863525
"SRP135559.OTU77","SRP135559.OTU7",0.0153403305991947
"SRP135559.OTU85","SRP135559.OTU7",0.014127783895757
"SRP135559.OTU9","SRP135559.OTU8",0.0190450837292672
"SRP135559.OTU12","SRP135559.OTU8",0.0200924397804145
"SRP135559.OTU21","SRP135559.OTU8",0.0146548653234189
"SRP135559.OTU77","SRP135559.OTU8",0.0160231964033693
"SRP135559.OTU85","SRP135559.OTU8",0.0141711040897122
"SRP135559.OTU12","SRP135559.OTU9",0.018416229134951
"SRP135559.OTU13","SRP135559.OTU9",-0.0162599143801821
"SRP135559.OTU14","SRP135559.OTU9",-0.00811406205353059
"SRP135559.OTU38","SRP135559.OTU9",0.0195119194635618
"SRP135559.OTU77","SRP135559.OTU9",0.014768522633758
"SRP135559.OTU78","SRP135559.OTU9",-0.00718398502650823
"SRP135559.OTU85","SRP135559.OTU9",0.0138696881978798
"SRP135559.OTU86","SRP135559.OTU9",-0.0181093108231919
"SRP135559.OTU21","SRP135559.OTU12",0.0145904216729588
"SRP135559.OTU77","SRP135559.OTU12",0.0161339879364896
"SRP135559.OTU85","SRP135559.OTU12",0.0142173791691753
"SRP135559.OTU86","SRP135559.OTU12",-0.0173585506770169
"SRP135559.OTU124","SRP135559.OTU12",0.0140600456473878
"SRP135559.OTU14","SRP135559.OTU13",0.00838950353829005
"SRP135559.OTU16","SRP135559.OTU13",-0.0075170246461766
"SRP135559.OTU36","SRP135559.OTU13",0.0184818157502344
"SRP135559.OTU38","SRP135559.OTU13",-0.0200869020390739
"SRP135559.OTU47","SRP135559.OTU13",0.0156114602744456
"SRP135559.OTU61","SRP135559.OTU13",0.0130108187739756
"SRP135559.OTU78","SRP135559.OTU13",0.00737406841237182
"SRP135559.OTU179","SRP135559.OTU13",0.0118136852009836
"SRP135559.OTU304","SRP135559.OTU13",0.00632153836861968
"SRP135559.OTU16","SRP135559.OTU14",-0.00722518003319262
"SRP135559.OTU36","SRP135559.OTU14",0.0165099076861149
"SRP135559.OTU38","SRP135559.OTU14",-0.0215464342255049
"SRP135559.OTU47","SRP135559.OTU14",0.0136781840197631
"SRP135559.OTU61","SRP135559.OTU14",0.0133238386928138
"SRP135559.OTU78","SRP135559.OTU14",0.00751780791736906
"SRP135559.OTU16","SRP135559.OTU15",-0.00708342539455308
"SRP135559.OTU22","SRP135559.OTU15",0.0110622897468153
"SRP135559.OTU61","SRP135559.OTU15",0.0133326990169612
"SRP135559.OTU158","SRP135559.OTU15",-0.0105702701436199
"SRP135559.OTU483","SRP135559.OTU15",0.00812580461068302
"SRP135559.OTU22","SRP135559.OTU16",-0.0108133899916831
"SRP135559.OTU36","SRP135559.OTU16",-0.0179614919334798
"SRP135559.OTU38","SRP135559.OTU16",0.0203122154150304
"SRP135559.OTU47","SRP135559.OTU16",-0.01451709232803
"SRP135559.OTU61","SRP135559.OTU16",-0.0143667936831532
"SRP135559.OTU483","SRP135559.OTU16",-0.00727855841578668
"SRP135559.OTU82","SRP135559.OTU17",0.01790474784468
"SRP135559.OTU77","SRP135559.OTU21",0.0152427789044989
"SRP135559.OTU85","SRP135559.OTU21",0.0132665990091201
"SRP135559.OTU124","SRP135559.OTU21",0.0140307811290506
"SRP135559.OTU38","SRP135559.OTU22",-0.0186423814875749
"SRP135559.OTU61","SRP135559.OTU22",0.0138934309837562
"SRP135559.OTU246","SRP135559.OTU22",-0.00914780681567014
"SRP135559.OTU483","SRP135559.OTU22",0.0081136844449567
"SRP135559.OTU51","SRP135559.OTU24",0.00722049466189021
"SRP135559.OTU151","SRP135559.OTU24",-0.00756181841147707
"SRP135559.OTU147","SRP135559.OTU25",-0.0120684972867619
"SRP135559.OTU307","SRP135559.OTU25",0.0106105713233971
"SRP135559.OTU36","SRP135559.OTU26",0.0164401630300132
"SRP135559.OTU47","SRP135559.OTU26",0.0155088623505909
"SRP135559.OTU72","SRP135559.OTU26",-0.0103806096515073
"SRP135559.OTU88","SRP135559.OTU26",0.013800768058613
"SRP135559.OTU179","SRP135559.OTU26",0.0131009742898804
"SRP135559.OTU184","SRP135559.OTU26",0.0181070379932369
"SRP135559.OTU307","SRP135559.OTU26",0.0106234551009096
"SRP135559.OTU124","SRP135559.OTU29",0.0137899092642753
"SRP135559.OTU38","SRP135559.OTU36",-0.0179495141823417
"SRP135559.OTU47","SRP135559.OTU36",0.0155807986728471
"SRP135559.OTU61","SRP135559.OTU36",0.0123258759471718
"SRP135559.OTU87","SRP135559.OTU36",0.0139786806575888
"SRP135559.OTU179","SRP135559.OTU36",0.0124220428635167
"SRP135559.OTU184","SRP135559.OTU36",0.0162224503844933
"SRP135559.OTU304","SRP135559.OTU36",0.00632944049603078
"SRP135559.OTU61","SRP135559.OTU38",-0.0140652469590879
"SRP135559.OTU483","SRP135559.OTU38",-0.00769167422890867
"SRP135559.OTU78","SRP135559.OTU39",0.00761615507549027
"SRP135559.OTU91","SRP135559.OTU39",0.0162413011544866
"SRP135559.OTU304","SRP135559.OTU39",0.00717304961597115
"SRP135559.OTU129","SRP135559.OTU41",0.0146904585153545
"SRP135559.OTU64","SRP135559.OTU47",0.0119218502174034
"SRP135559.OTU87","SRP135559.OTU47",0.0144134413442551
"SRP135559.OTU88","SRP135559.OTU47",0.0117764509533669
"SRP135559.OTU147","SRP135559.OTU47",-0.0133112141140114
"SRP135559.OTU179","SRP135559.OTU47",0.0139515830317795
"SRP135559.OTU184","SRP135559.OTU47",0.0157039740036226
"SRP135559.OTU151","SRP135559.OTU51",-0.00817960249226531
"SRP135559.OTU4","SRP135559.OTU57",-0.0182148993906576
"SRP135559.OTU102","SRP135559.OTU57",0.0229699425065549
"SRP135559.OTU181","SRP135559.OTU57",-0.0104594575201447
"SRP135559.OTU72","SRP135559.OTU59",0.0111438039251749
"SRP135559.OTU76","SRP135559.OTU59",0.014191908276541
"SRP135559.OTU220","SRP135559.OTU59",0.0135315003378034
"SRP135559.OTU158","SRP135559.OTU61",-0.0103810732074494
