"","SAMN08707421","SAMN08707422","SAMN08707423","SAMN08707424","SAMN08707425","SAMN08707426","SAMN08707427","SAMN08707428","SAMN08707429","SAMN08707430","SAMN08707431","SAMN08707432","SAMN08707433","SAMN08707434","SAMN08707435","SAMN08707436","SAMN08707437","SAMN08707438","SAMN08707439","SAMN08707440","SAMN08707441"
"SRP135559.OTU14",0.0446865592168588,0,0,0,0.0144457909619404,0.0130369296343285,0,0.0417911388912973,7.09639266706091e-05,0,0,0,0,0,0,0.0239775051124744,0,0.0379981406492753,0.0133413062255,0.0699577253511523,0.0472731479508272
"SRP135559.OTU15",0.0138851911773741,0.00161544762309256,0.00690372768262672,0,0.0106257793701811,0.00193741523808333,0.250559664201479,0.00924575743483436,0.0041632170313424,0.00115637276209066,0.0141987697863689,0.000218708042988281,0,0,0,0.00656952965235174,0,0.00268295574370909,0,0.0215865427038127,0
"SRP135559.OTU16",0.00980974420938377,0.00351151290841246,0.00115612664541596,0,0.0392187856753956,0.0413231921103452,0.00133919648211073,0.00730674948174889,0.000615020697811946,0,0.0179595601369213,0.0382617570761165,0,0.0159391197531234,0,0.021881390593047,0,0.0220563919860736,0.0344960467743007,0,0
"SRP135559.OTU17",0,0.000644662197008767,0.00376566964506912,0,0,0,0.153268039176494,0.00544656299017096,0.00473092844470727,0,0.00802821567060933,0.0513113369744172,0.000344531957342136,0.0168379422955928,0.000264809469586632,0.00672290388548057,0,0.00166592833388448,0.0282971231147432,0,0
"SRP135559.OTU18",0,0.231084852713649,0.0143690025930269,0,0,0,0.000499700179892065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRP135559.OTU19",0,0,0,0,0.0281187979696858,0.0206865949614704,0,0,0,0.0141553148040317,0,0.041281143114038,0,0,0.00692918112085021,0,0,0,0.0225566407547671,0.0130594171392817,0.0693144662895693
"SRP135559.OTU20",0,0,0,0,0,0,0,0,0,0.000147622054734977,0,0.00807397192031737,4.00618555048996e-05,0,0,0,0,0,0,0.000377022484979264,0.183515285836931
"SRP135559.OTU21",0.00737266788179156,0.000159269483966872,0.000198193139214164,0.0426312195766613,0,0,0,0.000228582238371864,0,0,0.00761251518281078,0.0254005091037223,0.000240371133029397,0.00367019204841657,0.0789397028837751,0.00115030674846626,0,0.0767699708618527,0,0,0
"SRP135559.OTU22",0.0604353969976858,0.0117404362467008,0.0424050737443639,0,0.00122942901803748,0.00441230696157043,0,0.0224483522373472,0.00868125369603785,0,0,0,0,0.0352787847919226,0.00296586605937028,0.0249233128834356,0,0.00376861690511696,0.0193741279649193,0.0301537770433415,0.0203121099386862
"SRP135559.OTU23",0,0.0158283530018506,0.00695327596743026,0,0,0.0148930984269438,0.0883569858085149,0,0.00797161442933176,0,0.0165955429113324,0.0551083516096304,0.000400618555048996,0,0,0,0,0,0,0,0
"SRP135559.OTU24",0.0010444612832538,0.00178988562934199,0.000189935091746907,0,0.00756977009677363,0.00271238133331667,0,0.00143455059943721,0.014949733885275,0,0.0237014231246387,0.0896642224017788,0.000753162883492112,0.000449411271234683,0,0.00173824130879346,0,0.022187420057278,0,0,0
"SRP135559.OTU25",0.00788465870691597,0.00712920547280284,0.00472360315127091,0,0.00533045295677679,0.00769966313973764,0.000129922046771937,0.00513127714414081,0.00723832052040213,0,0,0,0,0.0238787188782695,0.00866809663780243,0.0201431492842536,0.0816419023978692,0.0173705785825258,0.00377383562553983,0.00579972886468101,0.00368370099307708
"SRP135559.OTU26",0.00176124843842798,0.00345842308042351,0.00933985168546749,0.00309464549239004,0.00235347840595746,0.000231239883255108,0.00156905856486108,0.000709393153567853,0.00506209343583678,0.000615091894729073,0.00554050806393993,0.000419190415727538,0.126651549993189,0.00826916739071816,0.00308944381184404,0.00414110429447853,0.00064844964753624,0.00164097060603603,8.63729984718623e-05,0.0217469778038039,0.00079153905636367
"SRP135559.OTU27",0,0,0,0,0.000825473769253737,0.00084371308755242,0,0.000165525069165832,0,0.0936087851525018,0.062056288444176,0.00604484729925943,0,0,0.00325715647591558,0,0,0,0,0,0
