"SAMN08707423"	"SAMN08707425"	"SAMN08707429"	"SAMN08707433"	"SAMN08707438"	"SAMN08707441"	"SAMN08707432"
"SRP135559.OTU1"	0.0174614563171595	0.0705496162888701	0.0259051186017478	0.104401454261928	0.2628148315765	0.145276248525363	0.104401454261928
"SRP135559.OTU2"	0.161933996162972	0.00245752561770838	0.161933996162972	0.642778354790142	0.000245139635307651	0.00225496460872985	0.00260311640696608
"SRP135559.OTU4"	0.256966228392178	0.0402785787162311	0.0429031018918659	0.000491131454151672	0.04606110891114	0.00275265434526151	0.0266605560647724
"SRP135559.OTU5"	0.0717062671027164	0.0175841724703899	0.0799481417458945	0.000539439466035442	0.00922102166657238	0.00621804954777822	0.0213137794072716
"SRP135559.OTU6"	4.17139424681305e-05	0.126522645610611	0.139152981849611	0.0653275445430938	0.0510833286191096	0.00983705269366889	0.0653275445430938
"SRP135559.OTU7"	0.00433825001668558	0.0106285764982478	0.0586286372803226	0.00102251958487315	0.00156512228696423	0.0626105977192292	0.0186862205927284
"SRP135559.OTU9"	0.00727491156644197	0.0628576498247792	0.00388936905790838	0.0237336298556169	0.0186557548100797	0.0259904640188753	0.0237336298556169
"SRP135559.OTU15"	0.00697457118067142	0.010735039701903	0.00422548737155479	0.00615947996854699	0.0027028216200587	0.00615947996854699	0.000219981668194317
"SRP135559.OTU16"	0.00116799038910766	0.0396220556270239	0.000624219725343321	0.0159084934277568	0.0222197079695524	0.0159084934277568	0.0384845707302169
"SRP135559.OTU17"	0.0038043115530935	0.00265761820591217	0.00480169019494862	0.000346207418500358	0.00167826365710622	0.00265761820591217	0.0516101435991445
"SRP135559.OTU22"	0.0428402189147701	0.00124207070931109	0.00881110150773072	0.0154374713254131	0.0037965215314313	0.0204974439638223	0.0154374713254131
"SRP135559.OTU24"	0.0001918841353534	0.00764760679590116	0.0151733410160377	0.000756825519512412	0.0223517062347181	0.00922427274030454	0.0901863733577757
"SRP135559.OTU25"	0.00477207501835413	0.00538526371822739	0.00734658599827139	0.00774408710929287	0.0174991985819614	0.00371731222965002	0.00774408710929287
"SRP135559.OTU26"	0.00943569378629113	0.00237767821496695	0.00513780850859502	0.127267457307794	0.001653121130408	0.000798761305544633	0.000421631530705774
"SRP135559.OTU31"	0.000183541346859775	0.00493279510269263	0.001402496950466	0.000933954896419572	0.00071027637922473	0.000251917027133307	0.001402496950466
"SRP135559.OTU32"	0.000266969231796035	0.00159694805482854	0.000744261980217036	0.00384824978341222	0.0046639387025199	0.0119691309476996	0.0138282920867705
