"SAMN08707421"	"SAMN08707426"	"SAMN08707431"	"SAMN08707434"	"SAMN08707436"	"SAMN08707439"	"SAMN08707428"
"SRP135559.OTU1"	0.00747285501383862	0.17959541657202	0.0740327887174123	0.0172621251388375	0.0119580270586982	0.153875519803667	0.00758571109844072
"SRP135559.OTU2"	0.000702576112412178	0.000132505489513137	0.00587525364385087	0.000123411082315192	0.00278061524148575	0.00706932987933738	0.000206582546253832
"SRP135559.OTU4"	0.094741324249521	0.0422881805103355	0.00394557101364703	0.00723497470072812	0.0244220730797912	0.0483536710068853	0.00162787046448019
"SRP135559.OTU5"	0.0266766020864381	0.00383634941066606	0.157451492685774	0.0777181290879921	0.0353680622136998	0.00285636376031086	0.0345240751299404
"SRP135559.OTU7"	0.0308281882052373	0.045449382903006	0.0912587366215302	0.0494964041692814	0.0147810802173219	0.0651646328993114	0.00315658130675855
"SRP135559.OTU8"	0.0543521084464177	0.0543521084464177	0.0502645853503269	0.0333826977662594	0.0147278150633855	0.119033335605699	0.000512324714709503
"SRP135559.OTU9"	0.00257611241217798	0.0162603164988264	0.0111895171908571	0.0111895171908571	0.00215723873441994	0.023764401118004	0.000231372451804292
"SRP135559.OTU12"	0.0383436235895253	0.0375968196527666	0.0410074136947785	0.063525854621745	0.00751038670501757	0.0375968196527666	0.000594957733211037
"SRP135559.OTU13"	0.107281243346817	0.0101145856995028	0.0663857071966898	0.0663857071966898	0.141152657931181	0.00699434180925762	0.168265615574671
"SRP135559.OTU14"	0.0464551841601022	0.0131622119583049	0.0245718711631814	0.0245718711631814	0.0249813571961223	0.0136887313381962	0.0438120264095127
"SRP135559.OTU15"	0.0144347455822866	0.0019560334166225	0.0144958289677855	0.00943279506187713	0.00684457228081389	0.00943279506187713	0.00969285307022981
"SRP135559.OTU16"	0.0101979987225889	0.0417202998409935	0.0183353005928303	0.0164136739479205	0.0227974858847342	0.0353943690776467	0.00766008081509209
"SRP135559.OTU17"	0.015393454973215	0.015393454973215	0.00819617776952561	0.0173392570652845	0.00700436774262277	0.0290340173154271	0.00570994157845592
