"Node1","Node2","Correlation"
"SRP135559.OTU14","SRP135559.OTU1",-0.00687397112656915
"SRP135559.OTU15","SRP135559.OTU1",-0.00987153513445337
"SRP135559.OTU16","SRP135559.OTU1",0.00750450394832051
"SRP135559.OTU22","SRP135559.OTU1",-0.0129565175830107
"SRP135559.OTU38","SRP135559.OTU1",0.0200845622950301
"SRP135559.OTU61","SRP135559.OTU1",-0.0143930973379577
"SRP135559.OTU128","SRP135559.OTU1",0.00899338305715165
"SRP135559.OTU158","SRP135559.OTU1",0.0121189692554179
"SRP135559.OTU246","SRP135559.OTU1",0.0111126494200881
"SRP135559.OTU483","SRP135559.OTU1",-0.0088257538041784
"SRP135559.OTU24","SRP135559.OTU2",0.0140542005974579
"SRP135559.OTU74","SRP135559.OTU2",-0.0271690725119006
"SRP135559.OTU29","SRP135559.OTU4",0.00757182382237429
"SRP135559.OTU55","SRP135559.OTU4",-0.0146043702785411
"SRP135559.OTU57","SRP135559.OTU4",-0.0252969290514819
"SRP135559.OTU82","SRP135559.OTU4",0.0176363104990863
"SRP135559.OTU180","SRP135559.OTU4",-0.0102029526490155
"SRP135559.OTU181","SRP135559.OTU4",0.0139546503847243
"SRP135559.OTU362","SRP135559.OTU4",0.012554463278266
"SRP135559.OTU15","SRP135559.OTU5",0.00841991727840542
"SRP135559.OTU55","SRP135559.OTU5",0.0151785997725286
"SRP135559.OTU185","SRP135559.OTU5",0.00828220631632587
"SRP135559.OTU8","SRP135559.OTU7",0.0218278686204285
"SRP135559.OTU9","SRP135559.OTU7",0.0176579181211431
"SRP135559.OTU12","SRP135559.OTU7",0.0223032847227255
"SRP135559.OTU21","SRP135559.OTU7",0.0167897792951259
"SRP135559.OTU77","SRP135559.OTU7",0.0148940824961124
"SRP135559.OTU80","SRP135559.OTU7",-0.00568213914394088
"SRP135559.OTU85","SRP135559.OTU7",0.0141300356087045
"SRP135559.OTU124","SRP135559.OTU7",0.0155972132490326
"SRP135559.OTU9","SRP135559.OTU8",0.0172450261848342
"SRP135559.OTU12","SRP135559.OTU8",0.0232284255427981
"SRP135559.OTU21","SRP135559.OTU8",0.0164703147775535
"SRP135559.OTU29","SRP135559.OTU8",0.00708375721443657
"SRP135559.OTU77","SRP135559.OTU8",0.0173909107530551
"SRP135559.OTU85","SRP135559.OTU8",0.0158364505665116
"SRP135559.OTU86","SRP135559.OTU8",-0.0178528495156726
"SRP135559.OTU124","SRP135559.OTU8",0.0166788216830491
"SRP135559.OTU150","SRP135559.OTU8",0.00830491531223012
"SRP135559.OTU12","SRP135559.OTU9",0.0204276265553435
"SRP135559.OTU14","SRP135559.OTU9",-0.00712679508562619
"SRP135559.OTU15","SRP135559.OTU9",-0.00824895786537255
"SRP135559.OTU21","SRP135559.OTU9",0.0139438433293332
"SRP135559.OTU38","SRP135559.OTU9",0.0191670185822976
"SRP135559.OTU55","SRP135559.OTU9",-0.013237170251387
"SRP135559.OTU61","SRP135559.OTU9",-0.0127150186806184
"SRP135559.OTU77","SRP135559.OTU9",0.0153430922510117
"SRP135559.OTU85","SRP135559.OTU9",0.0143291016771689
"SRP135559.OTU86","SRP135559.OTU9",-0.0205177601698081
"SRP135559.OTU124","SRP135559.OTU9",0.0141982899461282
"SRP135559.OTU158","SRP135559.OTU9",0.0118771706893621
"SRP135559.OTU185","SRP135559.OTU9",-0.00688403150379496
"SRP135559.OTU483","SRP135559.OTU9",-0.0071448130546567
"SRP135559.OTU21","SRP135559.OTU12",0.0169703285172367
"SRP135559.OTU77","SRP135559.OTU12",0.0167281702613478
"SRP135559.OTU85","SRP135559.OTU12",0.014768367115349
"SRP135559.OTU86","SRP135559.OTU12",-0.0187734931074669
