"SAMN08707421"	"SAMN08707426"	"SAMN08707428"	"SAMN08707434"	"SAMN08707436"	"SAMN08707439"	"SAMN08707431"
"SRP135559.OTU1"	0.00747285501383862	0.17959541657202	0.00758571109844072	0.0172621251388375	0.0119580270586982	0.153875519803667	0.062958275780917
"SRP135559.OTU2"	0.000702576112412178	0.000132505489513137	0.000206582546253832	0.000123411082315192	0.00164688102196634	0.00706932987933738	0.00587525364385087
"SRP135559.OTU4"	0.094741324249521	0.0422881805103355	0.00162787046448019	0.00723497470072812	0.0244220730797912	0.0483536710068853	0.00394557101364703
"SRP135559.OTU5"	0.0266766020864381	0.00383634941066606	0.0345240751299404	0.0777181290879921	0.0353680622136998	0.00285636376031086	0.157451492685774
"SRP135559.OTU7"	0.0308281882052373	0.045449382903006	0.00315658130675855	0.031875973106327	0.0147810802173219	0.0651646328993114	0.0912587366215302
"SRP135559.OTU8"	0.0419140432875133	0.0419140432875133	0.000512324714709503	0.0333826977662594	0.0147278150633855	0.119033335605699	0.0502645853503269
"SRP135559.OTU9"	0.00257611241217798	0.0162603164988264	0.000231372451804292	0.00899788824304651	0.00215723873441994	0.023764401118004	0.00899788824304651
"SRP135559.OTU12"	0.0383436235895253	0.0274937056623747	0.000594957733211037	0.063525854621745	0.00751038670501757	0.0274937056623747	0.0410074136947785
"SRP135559.OTU13"	0.107281243346817	0.0101145856995028	0.168265615574671	0.0867616888722861	0.141152657931181	0.00699434180925762	0.0867616888722861
"SRP135559.OTU14"	0.0464551841601022	0.0131622119583049	0.0438120264095127	0.0284199022124477	0.0249813571961223	0.0136887313381962	0.0284199022124477
"SRP135559.OTU15"	0.0144347455822866	0.0019560334166225	0.00969285307022981	0.00823205108748819	0.00684457228081389	0.00823205108748819	0.0144958289677855
"SRP135559.OTU16"	0.0101979987225889	0.0417202998409935	0.00766008081509209	0.0164136739479205	0.0227974858847342	0.0353943690776467	0.0183353005928303
"SRP135559.OTU17"	0.0147718959254476	0.0147718959254476	0.00570994157845592	0.0173392570652845	0.00700436774262277	0.0290340173154271	0.00819617776952561
"SRP135559.OTU21"	0.00766446668086013	0.00322050819849599	0.000239635753654445	0.00377946439590275	0.00119846596356664	0.00322050819849599	0.0077717802151165
"SRP135559.OTU22"	0.0628273365978284	0.00445470836172737	0.0235338836692366	0.0363291373565346	0.0259667625439438	0.0198786556684164	0.0288317473662812
"SRP135559.OTU24"	0.00108579944645518	0.0027384467832715	0.00150392093672789	0.00046279155868197	0.00181101523383403	0.00152039479179411	0.0241972918131059
"SRP135559.OTU25"	0.00819672131147541	0.00777365538477071	0.00537940950444979	0.024589658151302	0.0209864706509002	0.00387211125502761	0.0117996710429876
