"SAMN08707423"	"SAMN08707425"	"SAMN08707429"	"SAMN08707432"	"SAMN08707438"	"SAMN08707441"	"SAMN08707433"
"SRP135559.OTU1"	0.0174614563171595	0.0705496162888701	0.0259051186017478	0.104401454261928	0.2628148315765	0.145276248525363	0.104401454261928
"SRP135559.OTU2"	0.00189018656717799	0.00245752561770838	0.00189018656717799	0.00260311640696608	0.000245139635307651	0.00225496460872985	0.642778354790142
"SRP135559.OTU4"	0.256966228392178	0.0402785787162311	0.0429031018918659	0.0266605560647724	0.04606110891114	0.00275265434526151	0.000491131454151672
"SRP135559.OTU5"	0.0717062671027164	0.0175841724703899	0.0799481417458945	0.0213137794072716	0.00922102166657238	0.00621804954777822	0.000539439466035442
"SRP135559.OTU6"	4.17139424681305e-05	0.126522645610611	0.139152981849611	0.0653275445430938	0.0510833286191096	0.00983705269366889	0.0653275445430938
"SRP135559.OTU7"	0.00433825001668558	0.0106285764982478	0.0586286372803226	0.0186862205927284	0.00156512228696423	0.0626105977192292	0.00102251958487315
"SRP135559.OTU9"	0.00727491156644197	0.0628576498247792	0.00388936905790838	0.0237336298556169	0.0186557548100797	0.0259904640188753	0.0237336298556169
"SRP135559.OTU15"	0.00697457118067142	0.010735039701903	0.00422548737155479	0.000219981668194317	0.0027028216200587	0.00497158030847646	0.00497158030847646
"SRP135559.OTU16"	0.00116799038910766	0.0396220556270239	0.000624219725343321	0.0384845707302169	0.0222197079695524	0.0204237088882488	0.0204237088882488
"SRP135559.OTU17"	0.0038043115530935	0.0154736022510732	0.00480169019494862	0.0516101435991445	0.00167826365710622	0.0154736022510732	0.000346207418500358
"SRP135559.OTU22"	0.0428402189147701	0.00124207070931109	0.00881110150773072	0.0154374713254131	0.0037965215314313	0.0204974439638223	0.0154374713254131
"SRP135559.OTU24"	0.0001918841353534	0.00764760679590116	0.0151733410160377	0.0901863733577757	0.0223517062347181	0.0271101823079572	0.000756825519512412
"SRP135559.OTU25"	0.00477207501835413	0.00538526371822739	0.00734658599827139	0.00774408710929287	0.0174991985819614	0.00371731222965002	0.00774408710929287
"SRP135559.OTU26"	0.00943569378629113	0.00237767821496695	0.00513780850859502	0.000421631530705774	0.001653121130408	0.000798761305544633	0.127267457307794
"SRP135559.OTU31"	0.000183541346859775	0.00493279510269263	0.00151963246397761	0.00151963246397761	0.00071027637922473	0.000251917027133307	0.000933954896419572
"SRP135559.OTU32"	0.000266969231796035	0.00159694805482854	0.000744261980217036	0.0138282920867705	0.0046639387025199	0.0119691309476996	0.00551159016730527
"SRP135559.OTU36"	0.0116715611025829	0.000461340549172692	0.00220877748967637	0.00127100519401161	0.00389709163822418	0.00138247149036571	5.63593471977328e-05
"SRP135559.OTU37"	0.0271474337582594	0.000922681098345383	0.00775413376928619	0.00471127406049496	0.00512907544643699	0.00086020448289422	0.00775413376928619
"SRP135559.OTU38"	0.000458853367149435	0.0156589628709577	0.00117641409776241	0.00687875300384898	0.00382166405812952	0.0132778706252458	0.00687875300384898
"SRP135559.OTU41"	0.00224421010478542	0.0071794760194015	0.000240084509747431	0.0071794760194015	0.0258465174457707	0.000387092017302399	0.00348622819094547
"SRP135559.OTU47"	0.0270139491423614	0.00491505123541675	0.00667434937097858	0.00954434079991496	0.00438108527716493	0.00473726897365316	0.00954434079991496
"SRP135559.OTU48"	0.000125141827404392	0.00304307323781218	0.000624219725343321	0.0320501069355332	0.000131998265165658	8.6020448289422e-05	0.000458926112895824
"SRP135559.OTU52"	0.00142661683241006	0.0119771104112142	0.00384287004507346	0.00165597311335167	0.0030548169938338	0.00109983287455761	0.0261587884350619
"SRP135559.OTU55"	0.00241106587465795	0.00588209200195182	0.0220397579948142	0.00223648029330889	0.00444394159391048	0.00175727487219819	0.000225437388790932
